SCHOOLS_PT_SCHID,SCHOOLS_PT_NAME,SCHOOLS_PT_ADDRESS,SCHOOLS_PT_TOWN_MAIL,SCHOOLS_PT_TOWN,SCHOOLS_PT_ZIPCODE,SCHOOLS_PT_PHONE,SCHOOLS_PT_GRADES,SCHOOLS_PT_TYPE,SCHOOLS_PT_TYPE_DESC,SCHOOLS_PT_DIST_NAME,SCHOOLS_PT_DIST_CODE,SCHOOLS_PT_MA_ADDR_ID,SCHOOLS_PT_TYPE_DESC2,updated_csv_csv_School_Year,updated_csv_csv_Gender_Description,updated_csv_csv_School_Code,updated_csv_csv_School,updated_csv_csv_School_Type_Description,updated_csv_csv_Community_Code,updated_csv_csv_Community_Description,updated_csv_csv_Grade_Description,updated_csv_csv_Pediatric_Category_Description,updated_csv_csv_Student_Case_Count,updated_csv_csv_Student_Enrollment_Count,updated_csv_csv_Prevalence,updated_csv_csv_Lower_CI,updated_csv_csv_Upper_CI,updated_csv_csv_Statistical_Significance,updated_csv_csv_Stability,updated_csv_csv_State_Student_Case_Count,updated_csv_csv_State_Student_Enrollment_Count,updated_csv_csv_State_Prevalence,updated_csv_csv_State_Lower_CI,updated_csv_csv_State_Upper_CI,updated_csv_csv_matched_name,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAREST_OPENSPACE,NEAR_FID_ROAD,NEAREST_ROAD
01490040,Francis M. Leahy School,233 Haverhill Street,Lawrence,LAWRENCE,01840,978-975-5959,"PK,K,01,02,03,04,05",ELE,Public Elementary,Lawrence,01490000,2115829, ,2017-2018,Total,1490040,Francis M Leahy,Public,149,Lawrence,Total,Asthma,64,518.000000000000000,12.4,9.4,15.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Francis M. Leahy School,32.5208282,0.0666866,14.0820150,22.8115959,14325,118.845309505774196,170698,33.738721084694070
02480305,Susan B. Anthony Middle School,107 Newhall Street,Revere,REVERE,02151,781-388-7520,"06,07,08",MID,Public Middle,Revere,02480000,3537730, ,2017-2018,Total,2480305,Susan B. Anthony Middle School,Public,248,Revere,Total,Asthma,14,570.000000000000000,2.5,1.2,3.8,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Susan B. Anthony Middle School,48.3196335,0.0713107,15.3549891,23.5457745,41971,70.945771400140600,206709,43.570349327861614
02720005,Shutesbury Elementary School,23 West Pelham Road,Shutesbury,SHUTESBURY,01072,413-259-1212,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,Shutesbury,02720000,1046538, ,2017-2018,Total,2720005,Shutesbury Elementary,Public,272,Shutesbury,Total,Asthma,9,106.000000000000000,8.5,2.9,14.1,Not statistically significantly different,Unstable,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Shutesbury Elementary School,35.5748558,0.0728277,15.3943233,21.3530006,24867,34.098656071781150,389050,98.703047916670556
06500005,Dighton Elementary School,1250 Somerset Avenue,Dighton,DIGHTON,02715,508-669-4245,"PK,K,01,02,03,04",ELE,Public Elementary,Dighton-Rehoboth,06500000,2447925, ,2017-2018,Total,6500005,Dighton Elementary,Public,76,Dighton,Total,Asthma,21,463.000000000000000,4.5,2.6,6.4,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Dighton Elementary School,79.0865936,0.0768533,13.4402752,24.8351936,27360,0.000000000000000,501178,26.738056441336301
02930008,Joseph C Chamberlain School,480 Norton Avenue,Taunton,TAUNTON,02780,508-821-3216,"PK,K,01,02,03,04",ELE,Public Elementary,Taunton,02930000,2679327, ,2017-2018,Total,2930008,Joseph C Chamberlain,Public,293,Taunton,Total,Asthma,68,517.000000000000000,13.2,10.1,16.3,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Joseph C Chamberlain School,77.4668884,0.0769065,13.6572752,24.5930805,50712,122.958058278981326,269080,270.290829115506597
03440045,Ambrose Elementary School,27 High Street,Winchester,WINCHESTER,01890,781-721-7012,"K,01,02,03,04,05",ELE,Public Elementary,Winchester,03440000,4176013, ,2017-2018,Total,3440045,Ambrose Elementary,Public,344,Winchester,Total,Asthma,33,421.000000000000000,7.8,5.1,10.5,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Ambrose Elementary School,47.1600189,0.0700852,16.8069458,23.4406872,45572,62.404384070372039,146792,49.034135035318592
02310003,Bryantville Elementary School,29 Gurney Drive,Pembroke,PEMBROKE,02359,781-293-5411,"K,01,02,03,04,05,06",ELE,Public Elementary,Pembroke,02310000,3128346, ,2017-2018,Total,7200005,Baldwinville Elementary,Public,294,Templeton,Total,Asthma,39,289.000000000000000,13.5,9.3,17.7,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Bryantville Elementary School,69.6521912,0.0786775,12.8986578,24.7554493,26506,79.062283599090293,310186,125.439604791451345
02290045,West Memorial School,15 Bow Street,Peabody,PEABODY,01960,978-536-5850,"PK,K,01,02,03,04,05",ELE,Public Elementary,Peabody,02290000,3712034, ,2017-2018,Total,2290045,West Memorial,Public,229,Peabody,Total,Asthma,16,211.000000000000000,7.6,3.9,11.3,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,West Memorial School,39.6558113,0.0698386,14.7192965,23.4674320,1094,34.665702587154854,479958,26.343004200177610
02290015,Center School,18 Irving Street,Peabody,PEABODY,01960,978-536-5475,"K,01,02,03,04,05",ELE,Public Elementary,Peabody,02290000,3723026, ,2017-2018,Total,860005,Center School,Public,87,Easthampton,Total,Asthma,29,197.000000000000000,14.7,9.3,20.1,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Center School,39.8106918,0.0705912,14.2833605,23.5208149,41168,119.620317778758448,163782,32.277961571110609
02200020,John P Oldham School,165 Prospect Street,Norwood,NORWOOD,02062,781-769-2417,"01,02,03,04,05",ELE,Public Elementary,Norwood,02200000,3102349, ,2017-2018,Total,2200020,John P Oldham,Public,220,Norwood,Total,Asthma,28,227.000000000000000,12.3,7.7,16.9,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,John P Oldham School,66.2866669,0.0731374,16.9228325,23.3337078,25573,51.930700806848762,495770,54.996833251573563
03230305,Howard School,70 Howard Street,West Bridgewater,WEST BRIDGEWATER,02379,508-894-1250,"04,05,06",ELE,Public Elementary,West Bridgewater,03230000,2906093, ,2017-2018,Total,3230305,Howard School,Public,322,West Bridgewater,Total,Asthma,29,288.000000000000000,10.1,6.4,13.8,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Howard School,74.5223846,0.0771146,13.4829617,24.4904270,53223,3.407473989257368,534145,1.502786058293153
00160320,Wamsutta Middle School,300 Locust Street,Attleboro,ATTLEBORO,02703,508-223-1540,"05,06,07,08",MID,Public Middle,Attleboro,00160000,2961954, ,2017-2018,Total,160320,Wamsutta Middle School,Public,16,Attleboro,Total,Asthma,78,576.000000000000000,13.5,10.5,16.5,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Wamsutta Middle School,75.3263321,0.0764535,14.0525465,24.4537354,48058,57.338173162937430,509332,48.201291801706525
01220004,Cedar Elementary School,265 Cedar Street,Hanover,HANOVER,02339,781-878-7228,"PK,K,01",ELE,Public Elementary,Hanover,01220000,3438143, ,2017-2018,Total,1220004,Cedar Elementary,Public,122,Hanover,Total,Asthma,26,349.000000000000000,7.4,4.6,10.2,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,Cedar Elementary School,67.4012833,0.0763957,13.5460939,24.0643921,23091,0.000000000000000,539524,44.525185990842964
02810205,The Springfield Renaissance School an Expeditionary Learning School,1170 Carew Street,Springfield,SPRINGFIELD,01104,413-750-2929,"06,07,08,09,10,11,12",SEC,Public Secondary,Springfield,02810000,581639, ,2017-2018,Total,2810205,The Springfield Renaissance School an Expeditionary Learning School,Public,281,Springfield,Total,Asthma,24,312.000000000000000,7.7,4.6,10.8,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,The Springfield Renaissance School an Expeditionary Learning School,42.5535202,0.0717492,16.3939476,21.3589725,28579,98.250611513048455,37501,70.274817243661303
01710010,South River School,59 Hatch Street,Marshfield,MARSHFIELD,02050,781-834-5030,"K,01,02,03,04,05",ELE,Public Elementary,Marshfield,01710000,4213237, ,2017-2018,Total,1310019,Plymouth River,Public,131,Hingham,Total,Asthma,38,468.000000000000000,8.1,5.5,10.7,Statistically significantly lower,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,South River School,64.5272980,0.0794562,12.6809473,24.7858543,46090,27.613799909245390,523893,25.106785157478214
01490020,James F Hennessey School,122 Hancock Street,Lawrence,LAWRENCE,01841,978-975-5950,"PK,K,01,02",ELE,Public Elementary,Lawrence,01490000,2111326, ,2017-2018,Total,1490020,James F Hennessey,Public,149,Lawrence,Total,Asthma,35,254.000000000000000,13.8,9.2,18.4,Not statistically significantly different,Stable  ,79838,675052,11.826940740000000,11.744901110000001,11.908980359999999,James F Hennessey School,33.3616829,0.0667011,14.2990675,22.8597298,26490,128.457363946138940,194933,43.179718877623188
