Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD
12.4,32.5208282,0.0666866,14.082015,22.8115959,118.845309505774196,33.738721084694070
2.5,48.3196335,0.0713107,15.3549891,23.5457745,70.945771400140600,43.570349327861614
8.5,35.5748558,0.0728277,15.3943233,21.3530006,34.098656071781150,98.703047916670556
4.5,79.0865936,0.0768533,13.4402752,24.8351936,0,26.738056441336301
13.2,77.4668884,0.0769065,13.6572752,24.5930805,122.958058278981326,270.290829115506597
7.8,47.1600189,0.0700852,16.8069458,23.4406872,62.404384070372039,49.034135035318592
13.5,69.6521912,0.0786775,12.8986578,24.7554493,79.062283599090293,125.439604791451345
7.6,39.6558113,0.0698386,14.7192965,23.467432,34.665702587154854,26.343004200177610
14.7,39.8106918,0.0705912,14.2833605,23.5208149,119.620317778758448,32.277961571110609
12.3,66.2866669,0.0731374,16.9228325,23.3337078,51.930700806848762,54.996833251573563
10.1,74.5223846,0.0771146,13.4829617,24.490427,3.407473989257368,1.502786058293153
13.5,75.3263321,0.0764535,14.0525465,24.4537354,57.338173162937430,48.201291801706525
7.4,67.4012833,0.0763957,13.5460939,24.0643921,0,44.525185990842964
7.7,42.5535202,0.0717492,16.3939476,21.3589725,98.250611513048455,70.274817243661303
8.1,64.527298,0.0794562,12.6809473,24.7858543,27.613799909245390,25.106785157478214
13.8,33.3616829,0.0667011,14.2990675,22.8597298,128.457363946138940,43.179718877623188
23.5,76.2700577,0.0778031,13.4208651,23.8474159,68.268693045545817,27.509570742636924
13.4,35.9484406,0.071361,16.3510246,21.891861,52.596571421527059,58.943026637112553
9,39.4118538,0.0707211,14.0201674,23.5281487,42.970164316109432,38.513455301281532
11,69.9309235,0.0798122,12.3305473,24.8047428,458.632187282799691,44.944190644232293
10,37.9467087,0.0677952,15.6894283,22.8441277,0,95.765885259771864
12.7,72.6894073,0.0795512,12.2990398,24.8791199,27.217379207871126,36.599660660790072
11.5,71.2807159,0.0756,14.3950062,23.7987614,78.049805881470661,48.418122779206492
3.5,36.3445587,0.0705331,13.2429371,23.4956036,26.445587586538235,122.262227477052562
5.9,56.4640656,0.0731279,14.5756731,23.6382885,11.595223071686673,53.434727263329989
7.7,43.5366783,0.0739632,15.8450174,20.5387249,0,35.915366679874637
10.3,34.6514969,0.0734954,15.4849892,20.4103909,0,6.817372022555214
6.1,44.1770325,0.0717034,15.3227768,21.300169,209.856582962232437,93.445345432280476
13.3,47.4388123,0.0735692,15.3014946,19.8188972,0,117.723670997913260
9.5,46.1103325,0.0691333,16.7817936,23.3376274,254.955635587007151,139.318703219045517
9.1,64.8757401,0.0728196,17.4353828,23.2981758,0,31.496951114652905
15.4,43.6496429,0.0744535,15.8957186,20.3854065,0,36.498642253493969
22,45.4071579,0.0721899,15.2278252,20.8550014,116.781061671991424,204.497897040346317
4.5,43.785305,0.0642311,40.6458359,23.2769165,43.020620415491607,40.577343197385481
13.7,39.2028999,0.0708612,19.3998947,21.7566395,52.922221716089865,40.220227647220270
17.5,76.2627869,0.0777769,13.4442348,23.8515568,13.881747423818741,34.642067538308517
11.2,29.2169304,0.0668357,13.4214201,22.7032871,13.363841891795992,2.552666435862891
