NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAREST_OPENSPACE,NEAR_FID_ROAD,NEAREST_ROAD,prevalence_int,Latitude_Last,Longitude_Last
32.52083,6.668659E-02,14.08202,22.8116,14325,118.845309,170698,33.7387210846941,12.4,940054,227532
48.31963,7.131065E-02,15.35499,23.54577,41971,70.9457714,206709,43.5703493278616,2.5,907809,239432
35.57486,0.0728277,15.39432,21.353,24867,34.0986560,389050,98.7030479166706,8.5,911308,123506
79.08659,7.685332E-02,13.44028,24.83519,27360,0,501178,26.7380564413363,4.5,842842,231617
77.46689,7.690649E-02,13.65728,24.59308,50712,122.958058,269080,270.290829115507,13.2,852033,230169
47.16002,7.008521E-02,16.80695,23.44069,45572,62.4043840,146792,49.0341350353186,7.8,910636,228288
69.65219,7.867754E-02,12.89866,24.75545,26506,79.0622835,310186,125.439604791451,13.5,866222,255988
39.65581,6.983856E-02,14.7193,23.46743,1094,34.6657025,479958,26.3430042001776,7.6,922099,239957
39.81069,7.059123E-02,14.28336,23.52081,41168,119.620317,163782,32.2779615711106,14.7,920036,245633
66.28667,7.313745E-02,16.92283,23.33371,25573,51.9307008,495770,54.9968332515736,12.3,883778,224376
74.52238,7.711464E-02,13.48296,24.49043,53223,3.40747398,534145,1.50278605829315,10.1,863405,240459
75.32633,7.645349E-02,14.05255,24.45374,48058,57.3381731,509332,48.2012918017065,13.5,851462,218194
67.40128,7.639574E-02,13.54609,24.06439,23091,0,539524,44.525185990843,7.4,875936,252277
42.55352,7.174919E-02,16.39395,21.35897,28579,98.2506115,37501,70.2748172436613,7.7,876383,111208
64.5273,7.945623E-02,12.68095,24.78585,46090,27.6137999,523893,25.1067851574782,8.1,871913,264877
33.36168,6.670108E-02,14.29907,22.85973,26490,128.457363,194933,43.1797188776232,13.8,938545,226453
76.27006,7.780308E-02,13.42087,23.84742,23773,68.2686930,258819,27.5095707426369,23.5,817955,249129
35.94844,0.071361,16.35102,21.89186,24277,52.5965714,14883,58.9430266371126,13.4,927316,109905
39.41185,7.072108E-02,14.02017,23.52815,41913,42.9701643,470738,38.5134553012815,9,920354,247844
69.93092,7.981216E-02,12.33055,24.80474,3843,458.632187,535755,44.9441906442323,11,856636,266595
37.94671,6.779522E-02,15.68943,22.84413,45892,0,142181,95.7658852597719,10,924371,202950
72.68941,7.955121E-02,12.29904,24.87912,24767,27.2173792,294681,36.5996606607901,12.7,849415,265493
71.28072,7.559997E-02,14.39501,23.79876,48243,78.0498058,503000,48.4181227792065,11.5,872768,238725
36.34456,7.053307E-02,13.24294,23.4956,47064,26.4455875,459311,122.262227477053,3.5,925581,254027
56.46407,7.312792E-02,14.57567,23.63829,41345,11.5952230,305744,53.43472726333,5.9,895314,248737
43.53668,7.396319E-02,15.84502,20.53872,39935,0,376426,35.9153666798746,7.7,869484,116583
34.6515,0.0734954,15.48499,20.41039,41733,0,415679,6.81737202255521,10.3,915122,143126
44.17703,7.170343E-02,15.32278,21.30017,30185,209.856582,412783,93.4453454322805,6.1,895138,175130
47.43881,7.356924E-02,15.30149,19.8189,39912,0,425136,117.723670997913,13.3,875613,163676
46.11033,6.913327E-02,16.78179,23.33763,23181,254.955635,430616,139.318703219046,9.5,911429,212677
64.87574,7.281963E-02,17.43538,23.29818,38753,0,236912,31.4969511146529,9.1,887632,228541
43.64964,7.445353E-02,15.89572,20.38541,40018,0,370954,36.498642253494,15.4,867291,118598
45.40716,7.218988E-02,15.22783,20.855,47898,116.781061,57599,204.497897040346,22,888253,170055
43.78531,6.423113E-02,40.64584,23.27692,44601,43.0206204,342864,40.5773431973855,4.5,901626,55082
39.2029,7.086116E-02,19.39989,21.75664,49375,52.9222217,388434,40.2202276472203,13.7,898867,105638
76.26279,7.777687E-02,13.44423,23.85156,24466,13.8817474,280042,34.6420675383085,17.5,818844,247635
29.21693,6.683566E-02,13.42142,22.70329,48573,13.3638418,464102,2.55266643586289,11.2,946636,232543
71.42386,7.479028E-02,15.03868,23.74056,35086,152.445462,485009,68.4054699539446,11.7,867417,221125
47.59054,7.362898E-02,15.28461,19.80209,39912,1.25875202,383529,159.081842632414,7.1,875430,163669
79.76246,7.673768E-02,13.2808,24.84292,32396,138.700303,271566,58.4161997780164,24.1,832513,223066
43.58727,7.329722E-02,15.89048,20.71889,29509,578.310694,43267,113.596848685634,22.2,870915,114273
30.18195,6.781188E-02,13.31868,22.86619,22328,17.2240747,170003,71.4173754306105,9.7,941865,241885
81.1777,7.685611E-02,13.28774,24.71818,26692,39.1205629,519260,32.6377524724826,13,830549,224725
48.54528,7.113804E-02,15.77622,23.52387,43506,39.1161021,448536,32.6937922468369,10.2,908035,236952
35.07856,0.0716931,15.6376,21.83987,41832,0,355370,50.2159616164212,14.7,926839,114397
44.79829,7.162882E-02,15.40197,21.5217,1001,256.953862,65881,48.1776509472813,7.9,896141,177421
44.4414,6.874086E-02,16.56477,23.311,23289,158.601336,122772,67.2925279320188,15.7,913764,212338
35.68435,7.484015E-02,15.93547,20.24762,22044,53.9049947,378258,50.1815063177891,17.8,889501,137105
62.21294,7.426777E-02,14.93831,22.5656,9431,16.2141519,392510,134.755652119688,8.9,864680,193535
35.44141,0.0660939,15.13296,22.8877,43133,32.4741117,162904,22.7802176693117,21.5,932324,215408
69.14759,7.995435E-02,12.27067,24.80705,25542,18.3731811,539377,19.6064475955041,7,857250,268147
36.80401,7.179458E-02,16.65478,21.73661,2123,44.5896869,388681,50.5661692052137,11.2,904584,116579
33.82432,7.006726E-02,12.84133,23.30151,25273,0,456408,29.6617609218907,7,931492,258240
43.53668,7.396319E-02,15.84502,20.53872,40454,0,385663,87.5528643496874,21.4,869646,116677
43.95712,6.445207E-02,39.02734,23.18863,27313,57.0748308,353717,184.065577003704,13.4,896618,56842
37.83923,7.123919E-02,18.22997,21.7782,24761,27.5974729,379210,64.8688826072566,11.1,902736,109397
43.14509,6.398277E-02,42.95502,23.62917,2006,127.659670,342888,52.6824431758164,21.2,913189,54548
41.32042,7.382366E-02,15.69451,20.56293,52453,56.1579216,401900,49.5961558076375,10.5,876325,120815
44.87163,7.177267E-02,17.04511,21.09513,48600,23.9964916,398760,70.3098790081965,10.3,869495,107879
40.88865,6.908157E-02,15.46422,23.37427,33493,37.5726526,166786,63.2352237484825,10.9,920928,232045
34.68518,0.0662298,14.92968,22.8419,23125,0,461828,20.6805898277527,21,934341,216234
44.08583,0.068782,16.48956,23.24189,26030,148.641996,113914,73.9465641672016,4.7,914205,209820
36.192,7.019301E-02,15.1167,21.35188,24391,0,77062,104.62933808853,5.5,916001,177905
69.61375,7.432816E-02,15.21477,23.68561,24819,0,492300,9.50222143861506,3.8,867844,214314
75.49619,7.648428E-02,14.03169,24.45487,48063,42.5697178,500220,47.8184610570324,8.9,851786,218908
76.26279,7.777687E-02,13.44423,23.85156,38925,0,254214,37.808826043984,12.8,819212,247369
52.60308,0.0704764,17.51296,23.43913,37016,42.9868093,422199,48.824395857921,11.3,901257,216458
80.52839,7.681801E-02,13.35797,24.87147,40542,528.155003,499407,17.6240014444219,17.2,833129,225161
66.37846,7.309306E-02,17.06167,23.30803,28190,13.0298999,487504,63.7815953457198,17,884941,226770
45.78553,0.0698806,16.50296,23.42201,51054,45.2388909,116593,36.1240700996404,14.2,912309,228742
42.45804,6.820763E-02,16.27608,23.31259,44515,28.8245335,426445,74.8175412208184,10.5,918367,218148
40.55933,7.132816E-02,17.51209,21.59725,29803,69.8632826,26042,93.3956315531114,18.1,886825,111308
50.95349,7.090963E-02,17.43117,23.50891,5240,122.876825,97392,19.1293729019903,21.1,904688,230324
34.99739,6.741136E-02,14.50043,23.08946,35046,146.902626,195691,37.3955204699548,11,933800,229869
67.15256,7.393012E-02,15.35624,23.48805,41060,0,505292,28.8728714613434,10.8,869054,208627
37.30161,6.932024E-02,14.42416,23.4326,24803,44.9419137,462720,37.3530375051423,11.6,927477,239771
51.89665,7.130718E-02,17.07787,23.53623,12825,21.7233098,138214,20.0975133308079,15.1,903636,234033
70.5995,7.548536E-02,14.40633,23.78103,43531,25.2504288,291914,68.3748783600468,11.9,874242,240545
43.244,6.405861E-02,42.22856,23.40228,1984,44.8322905,362084,74.873105157018,6.7,910746,56684
60.30697,7.338984E-02,15.25226,23.49546,45113,62.6501811,233743,35.0659971133332,11.2,890839,244752
44.68281,7.365402E-02,16.35714,20.39431,25365,50.3441825,46637,74.398810834922,12.3,865853,112210
44.32233,6.868907E-02,16.57435,23.33698,41151,0,435584,84.8756129566541,6,914968,215688
41.05163,0.0700982,14.93618,23.47632,26868,34.0032364,190093,26.0752204283404,6.8,919283,239198
38.01031,0.0665097,15.54934,23.14974,51503,39.5408324,103900,138.416733734847,7.1,926175,218095
,7.923421E-02,13.3,23.09674,2279,45.8846995,537450,27.800079089932,10.5,812066,273805
32.01721,6.943865E-02,12.32913,22.96685,39794,0,447222,33.4200452369117,10.8,936217,268928
34.07945,6.645653E-02,14.83962,22.76364,2883,39.2834123,433390,58.5370276502826,15.8,935816,212960
,8.824225E-02,,,38081,15.4439042,554168,37.2645190085722,10.5,838133,325564
35.17427,7.003893E-02,13.40606,23.44029,25566,32.6448553,470044,63.3839749385022,7.4,928850,250436
44.21352,6.984029E-02,16.26357,22.32563,38921,0,447713,76.7160966281691,12.3,910032,199411
76.64296,7.793885E-02,13.16906,23.93294,33708,66.8199935,534104,36.6220962470277,5.9,823530,255621
80.5696,7.687833E-02,13.51749,24.96243,40054,0,507213,52.9011248166133,12.4,834854,229302
45.31163,0.071835,17.60341,20.90267,48650,51.6566121,372680,40.7875815586522,9.1,866736,106314
43.66597,7.144379E-02,14.44721,23.57706,11480,281.064636,180282,32.2259870615163,11.9,913604,246328
46.62793,7.017326E-02,16.5523,23.44315,51074,22.6679763,430756,59.2332468417604,17.6,911109,230027
41.25742,7.223798E-02,16.28634,21.14265,45128,70.6326601,36538,55.7306713063584,17.2,880988,115374
30.036,6.842965E-02,12.93722,22.90504,51630,21.0197282,469035,40.1250187097129,8.7,940898,251223
42.48788,7.119441E-02,14.55064,23.55605,32982,22.7627373,191822,62.0987265550767,15,915229,244574
49.05453,7.025317E-02,16.76761,22.80811,45747,27.1773038,434184,52.9960810531536,3.2,903309,205513
34.3954,7.041032E-02,12.53389,23.29281,39598,0,460352,52.370188139937,6.2,930179,264645
73.1319,7.650256E-02,13.81196,24.09267,48246,88.1516719,532153,57.6560052221148,12.5,867781,238295
45.72569,7.000165E-02,16.38899,23.42935,51174,41.8155101,149615,49.3529809426066,3.9,912586,230329
56.55737,7.180963E-02,18.62478,23.53082,19519,129.694841,506548,13.3008179704016,11.8,897629,230554
35.55067,6.715155E-02,14.75717,23.08432,4328,245.235663,174950,107.472317189143,11.1,932430,226363
65.64874,7.303101E-02,16.93141,23.33166,50480,28.8342060,505680,60.0265623512813,13.7,883330,221881
,7.635605E-02,13.3,20.61526,52868,475.650912,564369,23.0694362341049,4.6,796913,269848
71.12394,0.0753672,14.62382,23.7405,1107,20.9465387,492973,69.1078986352759,14.7,873857,237592
78.59044,7.758277E-02,12.91966,24.06963,38777,0,268818,33.4623830106749,13.9,824471,247195
70.2496,7.742931E-02,13.23143,24.49614,12849,83.8520931,523117,38.841242093619,12.2,869786,251808
76.55252,7.783751E-02,13.32714,23.83946,25832,0,262388,53.6212940312952,21.1,816776,249567
44.41057,7.325614E-02,16.22893,20.61268,24969,41.7517897,32843,123.025573982717,10,868193,112314
35.85283,6.770985E-02,14.6348,23.18949,51896,27.2533448,471471,68.3535276132194,8.5,931999,230658
33.78205,7.019991E-02,12.362,23.16883,28833,95.9227614,468716,59.7029010881709,8.2,931347,267865
61.255,7.333051E-02,15.73268,23.4451,11167,0,249160,48.3558486477031,8.4,890630,241820
35.75692,7.144982E-02,16.06139,21.89923,44122,55.4369703,356809,52.0032046011225,13.7,927813,110023
28.37064,6.685111E-02,13.31876,22.72922,1674,26.3517636,188625,35.8915314398692,5.7,949316,234077
65.51282,7.396065E-02,15.62765,23.38617,42386,21.3059162,492635,62.1757889726036,10,885154,241073
38.25673,0.0712933,18.07598,21.76222,32304,0,26309,105.912839173467,14.6,899544,110047
33.07981,6.993428E-02,14.72594,19.21745,26256,0,406769,70.5715813944459,10.6,938727,155603
75.99474,7.661181E-02,13.67847,24.60179,49228,29.8738855,502608,14.4715166456468,2.2,844202,220424
36.66647,6.717867E-02,15.43863,22.89445,25197,460.189228,453631,25.4776538734908,7.6,928684,206436
40.61827,6.961782E-02,15.09103,23.435,23717,34.3795711,473972,35.9664109196088,15.4,920836,236864
76.30869,7.780543E-02,13.38963,23.87657,48766,284.636090,508063,72.7597683940999,19,820804,251587
65.82251,7.370232E-02,15.51077,23.32357,28322,99.3204665,487451,42.6785880624096,10.9,871246,207777
,8.571799E-02,,,27152,34.5491237,550354,29.906946902308,8.7,835590,318917
73.94739,7.646424E-02,13.82341,24.54462,36026,39.2512428,278758,52.1372725564872,5.5,843884,213766
49.64947,7.121673E-02,15.9919,23.52685,42409,0,114035,46.2563180273161,2.9,906035,236411
80.46636,7.739417E-02,12.9426,24.74357,51848,54.2370630,506735,62.6561104570276,11.5,831052,246193
30.05011,0.0668995,13.58396,22.74649,15078,124.111824,184813,33.1023874937758,9.4,944234,232104
67.07413,7.409954E-02,15.19959,23.46645,42442,631.010380,493811,65.6822345042244,14.3,866903,206769
37.25095,7.134043E-02,15.37691,20.31522,50412,370.631889,69002,341.092562188023,5,904406,163418
77.14984,7.764881E-02,13.20036,23.90659,30273,454.389653,279566,49.2815176533501,25.3,821595,245531
53.15702,7.103022E-02,16.87824,22.7954,37284,92.6439905,427228,36.7491180684818,14.7,896886,206019
67.04866,7.329585E-02,16.80375,23.35706,24754,25.6521572,208387,48.8495202588485,8.2,882832,225535
77.61849,7.765123E-02,13.05327,23.96256,48956,50.1851367,274826,57.1479765066888,20.7,822860,247326
42.46991,7.106348E-02,17.59851,21.60831,44966,63.4037503,41216,84.4212610054191,28.3,880234,107824
74.28571,7.616512E-02,14.25695,24.4024,48257,20.6432949,519396,13.8706333685197,9.5,854450,216190
43.08049,7.418094E-02,15.79183,20.50602,52606,13.7792916,384530,47.5549615384786,11.6,870277,118593
65.10027,7.303508E-02,16.65746,23.39683,40386,0,489641,37.7684160938536,10.5,881738,216877
70.98421,7.964169E-02,12.38499,24.80663,24769,30.7469325,528206,40.6909151111909,10.2,855254,264560
77.61849,7.765123E-02,13.05327,23.96256,36739,447.626742,256567,25.3875268372453,12.6,823458,247535
40.30602,6.822102E-02,15.6905,23.30631,43846,29.9452650,133320,4.3058077869943,14.4,922064,225593
76.489,0.0777261,13.37948,23.86861,48978,37.7393054,254535,29.4825343485191,26.1,820486,246656
40.30602,6.822102E-02,15.6905,23.30631,43846,29.9452650,133320,4.3058077869943,10.9,922064,225593
40.25205,6.768858E-02,15.85375,23.2762,45423,54.1659823,138917,140.885475305785,3.4,922324,220838
41.98322,6.525499E-02,37.3618,24.74808,53364,355.841173,333625,140.353816462046,12,937046,57213
68.86889,7.380448E-02,16.30619,23.43801,28419,0,502961,67.2635054967713,12.5,880589,229525
41.14912,7.157763E-02,16.98601,21.39697,22281,45.4939143,372055,51.6069480621908,9.3,883585,112553
31.14815,6.650999E-02,13.85554,22.74676,11124,48.2639564,472289,106.271951143113,3.4,944157,226545
,8.818617E-02,,,38079,49.0852733,555524,55.1597370743748,4.9,837861,325189
63.09467,7.295351E-02,17.2289,23.36834,1195,43.6562524,246044,63.0943298134559,2.8,889795,234374
43.14114,6.976051E-02,23.22934,21.80541,28445,53.5069601,378265,38.1462833060782,14.6,895486,95146
