index,Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,target,asthma_hotspot_probability
247,0.0,76.3704529,0.08047,13.3360434,23.8867702,0.0,68.89528822490706,0,0.1
790,18.2,33.3115349,0.0669493,14.1973877,22.8950367,6.325496793181956,98.2202319903827,1,0.99
1222,9.3,63.9644814,0.0728106,16.7610607,23.3399029,24.26546704859425,39.74618985702734,1,1.0
1166,-800.0,60.5764084,0.0725966,17.8093014,23.4425488,306.4903040966167,37.05733696475141,1,1.0
56,21.2,43.145092,0.0639828,42.9550247,23.6291695,127.659670957365,52.68244317581642,1,0.95
865,14.5,55.9880791,0.0713567,18.1950665,23.4837284,75.89852731338442,35.77533034305877,1,1.0
1068,18.1,48.1082573,0.0714806,15.0330734,23.5691223,55.444416190401824,37.810594618271764,1,1.0
1353,19.7,63.7541275,0.0743155,14.811286,23.4586735,214.7672861786218,58.3825160730136,1,0.98
114,13.7,35.7569199,0.0714498,16.0613861,21.8992348,55.43697038652165,52.00320460112246,1,0.99
721,16.1,62.2117882,0.0724002,17.8336086,23.3277092,132.13831294045198,15.406616820605016,1,0.99
1317,30.7,42.1381226,0.0722674,16.1299515,21.1355629,763.4528708561654,54.87105954759589,1,0.93
716,21.3,57.1885071,0.0717119,18.4170704,23.4865894,69.99844225871807,78.47439729767149,1,1.0
202,14.4,45.6797028,0.0706698,15.6907215,23.488205,0.0,56.92640891346112,1,1.0
735,4.7,61.2075119,0.076512,13.1269255,24.0082932,296.4855417429499,2.48486916162512,1,0.77
1082,9.3,59.2487602,0.0734791,15.1442461,22.326622,53.91952645633461,66.7572261317752,1,0.98
365,0.0,42.3932076,0.0650185,38.9326782,24.560112,1180.8983776618632,60.10289633082216,0,0.14
674,0.0,45.0351219,0.0660477,35.8135605,22.9699078,485.62755352183814,114.46149744986585,0,0.0
525,0.0,45.6314583,0.0590012,33.1441917,23.3246078,467.68299703442176,122.37031758775225,0,0.04
358,11.4,28.2613449,0.067617,12.7514782,22.8013382,115.43573008867752,62.43579145929938,1,0.99
858,13.2,47.0818176,0.0720726,15.1942844,21.5213795,360.4887143221741,25.883479320272215,1,1.0
329,14.7,44.8458443,0.0729509,16.6440945,20.5819778,23.823629904882928,37.95853631507767,1,0.99
1298,14.3,57.8967361,0.0723156,18.1894875,23.5415516,220.33891639745724,18.940551386188368,1,1.0
612,15.1,42.7785072,0.071733,16.3131618,21.4196568,56.36675150028156,74.05541670986358,1,1.0
146,0.0,45.4251709,0.0650983,34.9464722,23.0565605,730.3428198161326,306.86815935330253,0,0.02
1043,11.4,52.9562874,0.0710819,17.9852943,23.5222683,106.24369458789054,56.15190051941463,1,1.0
354,0.0,34.1011009,0.0699267,14.7413626,19.0375061,0.0,186.47868067453453,0,0.19
812,0.0,76.9968491,0.0806311,13.3000002,23.8701897,938.988550206249,56.58533191247029,0,0.17
800,0.0,41.3260345,0.0698697,22.9038467,21.8368492,1566.51465768406,148.10583787041338,0,0.01
185,13.5,40.2457581,0.0744087,15.7727852,20.2325687,10.414632231801187,67.39342799554493,1,0.95
340,6.0,50.1696587,0.0725228,15.163578,21.6670322,25.36758353716202,58.91077375550181,1,0.98
102,11.8,56.5573654,0.0718096,18.6247768,23.5308228,129.69484197217628,13.300817970401608,1,0.99
487,0.0,77.0,0.0779517,13.3000002,23.7705383,0.0,20.078323255880267,0,0.06
248,0.0,73.9140701,0.0782002,12.8801184,24.7927399,678.0621568222962,501.7504694923368,0,0.09
664,0.0,54.6819916,0.0738769,14.9312105,21.8206806,720.9286591162158,88.12864742625072,0,0.22
313,15.7,43.3334656,0.0690737,16.2075539,23.365406,84.4328098208219,16.352232699344846,1,1.0
346,0.0,77.0,0.0779053,13.3000002,23.7177505,0.0,411.82102385850817,0,0.0
436,7.0,37.0681419,0.0738298,15.5519962,20.5628986,0.0,35.20859672982647,1,0.85
965,5.0,37.3017693,0.0737249,15.5832357,20.5967712,34.2741407460879,50.72669585174671,1,0.89
376,7.2,74.5196915,0.0770465,13.5164738,24.462286,64.19044623349406,213.71536154345105,1,0.73
386,0.0,44.4924355,0.063459,37.3755035,23.0457592,0.0,50.01478484620221,0,0.03
92,0.0,34.7511597,0.0710823,15.291976,19.9534111,792.124422136472,285.1043028617946,0,0.0
652,14.6,78.6313705,0.0770337,13.4157352,24.7469215,0.0,62.01333018083309,1,0.96
640,0.0,42.7003021,0.074195,15.5240011,19.6616058,0.0,460.30090354417536,0,0.04
267,0.0,35.2532196,0.073974,15.6115351,20.3892498,0.0,371.07899200027543,0,0.0
282,0.0,44.1442146,0.068946,26.8930149,21.8826637,0.0,74.80064390277293,0,0.03
453,0.0,43.0214996,0.0658566,35.5353737,23.1376591,0.0,96.94489682670624,0,0.02
35,0.0,34.952774,0.0705468,15.0480928,19.9713173,0.0,191.767379256542,0,0.0
534,8.1,50.4393272,0.0714969,15.3746557,23.5543442,177.22764081649336,30.781538378355815,1,1.0
482,11.8,54.9153214,0.0713511,16.8909054,22.8238201,86.52890878744152,52.86275563664047,1,1.0
678,0.0,35.1674805,0.074511,15.4201536,20.517868,0.0,1492.9791884345248,0,0.0
98,3.2,49.0545273,0.0702532,16.7676125,22.8081074,27.177303832695927,52.9960810531536,1,1.0
1285,8.3,57.6321297,0.0739653,15.0252123,22.3133926,770.9387075322445,67.62895396710142,1,0.84
1319,5.5,48.0012436,0.0695475,17.0489159,23.3841171,0.0,5.8020569586795,1,0.95
411,11.5,79.3451233,0.0770157,13.3760443,24.8154163,882.5505647181117,34.975274097480764,1,0.95
825,0.0,44.4054604,0.0697236,23.0216103,21.7907352,0.0,524.2393351788555,0,0.0
1374,2.4,28.9078007,0.0671082,12.7955503,22.7321072,32.05161764054999,166.71272990267153,1,0.81
1192,21.5,76.2700577,0.0778031,13.4208651,23.8474159,196.39413341632567,29.236543230054483,1,0.97
799,0.0,42.1506119,0.0648528,39.7478218,24.7484665,53.58698150210226,423.7017224091159,0,0.03
684,0.0,48.1306076,0.0688894,24.8959618,21.5568829,464.63620436656095,302.10824234069446,0,0.0
1344,10.7,42.8274307,0.0736955,15.7496147,20.6343231,121.85447020385524,26.576961287791637,1,1.0
15,0.0,44.9988289,0.0595316,36.6969452,23.7250614,540.0819544592098,124.7292300811778,0,0.0
138,10.5,65.1002655,0.0730351,16.6574574,23.3968296,0.0,37.76841609385357,1,1.0
1067,4.3,44.780365,0.070523,15.6019135,23.4790955,30.261511566255663,36.79032027377042,1,1.0
856,0.0,44.2000809,0.0683694,29.8022785,21.9723835,52.17448021963612,38.04260332631589,0,0.02
335,0.0,34.4720268,0.0732211,15.1846552,21.1568108,152.8671779724833,137.68143966741567,0,0.07
659,0.0,59.6687126,0.0744201,14.9439468,22.5303249,0.0,96.42356436222435,0,0.86
950,0.0,59.8000717,0.0865962,13.4926453,27.2865162,0.0,2176.3938891795488,0,0.05
1109,7.3,72.1302567,0.0763943,13.8426075,24.0246105,98.58551820623306,21.852945894303407,1,1.0
1014,9.0,43.7318077,0.0714306,14.6770391,23.5678139,496.1757857406416,38.15533287372175,1,0.98
334,0.0,41.8246841,0.0662929,32.5219841,23.3477077,0.0,17.852859696308396,0,0.22
897,0.0,33.8164597,0.069694,14.6116714,19.2695713,1122.5108094719876,140.10526834948803,0,0.41
1053,4.9,60.4826164,0.073233,15.3888168,22.3210011,0.0,112.5167048530144,1,1.0
246,18.9,40.1060448,0.0713168,17.6334915,21.645134,64.2933931791885,46.65273829772004,1,1.0
583,0.0,44.0864754,0.0687995,27.6358852,21.9006348,111.63534312174484,111.49472898679556,0,0.05
375,12.2,33.1172676,0.0698519,14.7834158,20.7789841,69.19455122519204,65.12741517512657,1,1.0
204,0.0,58.468277,0.0748221,14.7580128,22.1486912,231.08864344497897,220.0204149518876,0,0.13
634,9.1,72.9862823,0.0757079,14.49613,24.2617779,39.91988692915588,39.65172425267076,1,1.0
946,17.1,71.1765671,0.0749648,15.092452,23.677124,0.0,41.43090299050414,1,1.0
304,12.2,72.1298828,0.0754413,14.6153507,24.1739693,0.0,68.23607431726833,1,0.99
1324,22.7,56.7438545,0.0721211,18.7604675,23.5838871,9.76751732229642,28.724435829040225,1,1.0
473,12.6,81.5851593,0.0771188,13.1532917,24.3171501,24.896723684017648,41.9381933968228,1,1.0
778,0.0,41.9958344,0.0695825,24.0977154,21.8516598,22.468299647557224,499.185011347663,0,0.0
482,0.0,38.746685,0.0707138,19.8428154,21.7850647,162.5063380552101,605.8128530603107,0,0.01
1283,6.1,50.9534912,0.0709096,17.4311714,23.5089073,38.06053393389203,63.246748312801415,1,1.0
1327,7.5,58.3160362,0.0725073,17.2592449,23.5274181,298.4430548460789,17.372775633434717,1,1.0
284,0.0,45.8321838,0.0693271,24.5392666,21.8144398,0.0,21.958625048388477,0,0.07
651,8.5,52.443573,0.0708514,17.8878155,23.5040131,18.236175338904367,36.9719156321374,1,1.0
260,7.1,39.815506,0.0710165,13.7307091,23.5453014,200.46287875338223,120.68304469276003,1,1.0
837,18.6,44.2533646,0.0700027,15.9006519,23.4320412,182.33253675666725,41.21080918496883,1,1.0
491,10.1,71.5705948,0.0799946,12.2168541,24.933672,0.0,143.97804678090768,1,0.8
257,11.8,65.7702103,0.0745872,14.8143845,23.4982643,32.17550641981003,72.72246513863996,1,0.99
362,12.7,42.3038177,0.069119,16.1953831,22.674408,0.0,43.565725556609095,1,0.99
44,14.7,35.0785637,0.0716931,15.6376019,21.8398666,0.0,50.21596161642124,1,0.91
915,0.0,79.7851639,0.0769605,13.4885082,24.891573,100.29092508579728,357.1708934966622,0,0.18
734,0.0,47.8534966,0.0672082,31.3093548,22.5431824,0.0,60.53209524965187,0,0.02
194,12.3,53.9590263,0.0711025,18.1128178,23.5109768,49.80940924362325,37.026934649570585,1,1.0
586,0.0,43.6490059,0.0677157,31.7884159,22.3561115,205.57399856989767,429.98347839412384,0,0.0
868,0.0,35.1803131,0.0725958,15.2223253,21.511919,138.8282192390433,358.76633049657687,0,0.0
1113,22.4,41.1368752,0.0709825,18.4801579,21.6752815,73.65146211432605,24.856850946120225,1,1.0
296,8.4,33.2302322,0.0685031,13.8324165,23.1740437,75.29845369066726,61.81586077099115,1,0.99
608,13.5,37.4225159,0.0735843,15.6172791,20.6530895,99.21321430198961,209.61543115703284,1,0.35
839,0.0,59.4926224,0.0748672,14.7938299,22.4135418,1284.6580862624717,9.230609416858265,0,0.14
1018,8.4,55.5767059,0.0722344,16.1154804,22.3466091,521.3547562705398,19.294172652632422,1,0.98
1134,4.2,48.9930305,0.07059,17.0106106,23.4793949,305.7598621515467,44.0346563174856,1,1.0
668,0.0,40.5861473,0.0700147,22.258091,21.8424263,407.9856172713754,143.5991296462943,0,0.03
1133,2.0,60.1842918,0.0719701,17.7547359,23.3328819,82.23794655760845,43.52390669254832,1,1.0
70,10.5,42.4580383,0.0682076,16.2760773,23.3125916,28.82453350733545,74.8175412208184,1,1.0
495,0.0,33.0806274,0.0695364,14.5591164,19.4067345,203.99826892375785,220.88704066935327,0,0.03
915,10.4,44.3623657,0.0709808,17.6107769,21.5113277,779.7311798136135,45.83924814323446,1,0.96
436,0.0,44.2021408,0.060768,40.89217,23.924509,0.0,758.3701799476077,0,0.03
253,16.8,44.6682777,0.0713848,17.1234493,21.3153934,84.94747364810844,74.13818700385055,1,1.0
829,3.6,50.7044449,0.0742614,14.8700552,19.8808155,0.0,80.30733767268744,1,0.79
519,13.7,32.3755951,0.06962,14.7042837,20.6504154,78.86805797842662,44.07402535485004,1,0.98
547,5.6,59.7305107,0.07248,16.4872704,22.8172092,0.0,155.93149723851377,1,0.98
25,0.0,77.4937515,0.0781966,12.7315464,24.984869,860.6196152726121,175.78775004379483,0,0.02
501,0.0,44.8753967,0.0680709,30.9867077,22.0681076,37.75414458427836,646.7864270670344,0,0.01
1139,20.0,80.2323151,0.0771159,13.1396551,24.0431557,22.45689171350991,61.03695017690888,1,1.0
1002,7.1,52.8383102,0.071416,17.413168,23.5501804,136.98258610150492,21.75067659485851,1,1.0
830,21.6,28.7026176,0.0670547,13.2904367,22.7460461,0.0,35.875952606265884,1,1.0
351,0.0,42.5533905,0.0651081,38.2771072,23.9310169,0.0,291.7805222635813,0,0.02
309,6.7,45.6840706,0.0737856,15.4203825,19.7151985,56.92492052534507,45.81930829434548,1,0.84
1201,12.5,36.2264366,0.0673867,15.3836517,22.7773037,84.24452333372646,84.97027059578491,1,1.0
10,0.0,45.4242325,0.0612052,31.8416481,22.8767262,369.1046258409488,115.77665345262471,0,0.0
29,9.5,46.1103325,0.0691333,16.7817936,23.3376274,254.95563558700715,139.31870321904552,1,0.93
1163,20.4,54.9550819,0.0719557,17.7883987,23.6115017,21.46846471393428,15.279329055079884,1,1.0
467,7.2,44.0049057,0.0702909,15.5925388,23.4619045,0.0,50.9951877877181,1,1.0
806,5.4,48.5437737,0.0699725,17.2276859,23.439661,20.738991339607505,42.853627734246416,1,1.0
265,14.0,37.4214706,0.0717405,16.8565979,21.7062092,28.98776494655389,34.796590297887846,1,1.0
994,0.0,45.3823204,0.0630562,33.4507141,22.9206753,184.4660948214133,169.2423646592343,0,0.01
544,10.9,47.1838417,0.0719945,15.3052711,21.6867657,14.821151994288158,33.51079993480833,1,1.0
51,11.2,36.8040085,0.0717946,16.6547813,21.7366085,44.58968691486225,50.56616920521371,1,1.0
356,0.0,41.7443581,0.069169,25.9773407,21.9123573,150.98316827523996,13.884622278581142,0,0.09
540,13.2,50.4393272,0.0714969,15.3746557,23.5543442,178.41015791637483,30.07299521803904,1,1.0
306,0.0,39.0382385,0.0699677,22.0484753,21.9052773,931.416664571512,618.8812577876905,0,0.0
682,0.0,46.8995056,0.0685178,28.6296482,21.9184532,0.0,80.16243510050266,0,0.0
1042,11.7,38.919632,0.0709925,18.9924126,21.7564297,53.08541984886342,33.31207378457112,1,1.0
27,0.0,39.0276527,0.0724097,15.4276505,20.1845608,0.0,63.920872140340414,0,0.07
988,0.0,77.9391937,0.0772524,13.2528296,24.7954578,1.371393892374076,270.8651655605781,0,0.08
658,0.0,46.9646797,0.0694464,23.5109787,21.7249413,0.0,94.77999606135897,0,0.06
1162,13.5,57.3551598,0.0721975,18.5619774,23.5590172,69.94355115345792,29.76995323925373,1,1.0
633,0.0,35.184803,0.0707989,15.296854,19.8884392,110.46584664435296,28.650004002321005,0,0.09
419,3.8,43.5175743,0.0714749,14.2820492,23.5816345,20.237007334093843,33.20624475004222,1,1.0
685,16.3,68.7309875,0.0737399,16.3612499,23.4154644,0.0,9.93609633200806,1,1.0
329,0.0,39.0688896,0.074506,16.0486603,20.3610935,68.06228551627578,121.284580188178,0,0.11
628,0.0,44.7287865,0.0597759,38.0381699,23.6825562,497.9125569430678,83.96036779920459,0,0.0
497,13.1,55.5008774,0.0715944,18.4788094,23.5361881,55.66967381621962,18.777751526487208,1,1.0
913,15.4,32.1505241,0.0667652,13.9803009,22.8041935,27.141229119398545,69.08058831058891,1,0.99
837,0.0,59.6115761,0.0748383,14.8133621,22.4653053,891.7145810548427,220.17364399667943,0,0.14
1070,9.4,60.6698265,0.0744847,14.0957861,23.5551357,0.0,99.79136415347487,1,1.0
