NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Latitude,Longitude,asthma_hotspot_probability
32.52083,0.06668659,14.08202,22.8116,118.845309,33.7387210846941,940054,227532,1.0
48.31963,0.07131065,15.35499,23.54577,70.9457714,43.5703493278616,907809,239432,1.0
35.57486,0.0728277,15.39432,21.353,34.098656,98.7030479166706,911308,123506,0.67
79.08659,0.07685332,13.44028,24.83519,0.0,26.7380564413363,842842,231617,0.97
77.46689,0.07690649,13.65728,24.59308,122.958058,270.290829115507,852033,230169,0.75
47.16002,0.07008521,16.80695,23.44069,62.404384,49.0341350353186,910636,228288,1.0
69.65219,0.07867754,12.89866,24.75545,79.0622835,125.439604791451,866222,255988,0.96
39.65581,0.06983856,14.7193,23.46743,34.6657025,26.3430042001776,922099,239957,0.99
39.81069,0.07059123,14.28336,23.52081,119.620317,32.2779615711106,920036,245633,1.0
66.28667,0.07313745,16.92283,23.33371,51.9307008,54.9968332515736,883778,224376,1.0
74.52238,0.07711464,13.48296,24.49043,3.40747398,1.50278605829315,863405,240459,0.95
75.32633,0.07645349,14.05255,24.45374,57.3381731,48.2012918017065,851462,218194,0.97
67.40128,0.07639574,13.54609,24.06439,0.0,44.525185990843,875936,252277,0.99
42.55352,0.07174919,16.39395,21.35897,98.2506115,70.2748172436613,876383,111208,1.0
64.5273,0.07945623,12.68095,24.78585,27.6137999,25.1067851574782,871913,264877,0.82
33.36168,0.06670108,14.29907,22.85973,128.457363,43.1797188776232,938545,226453,1.0
76.27006,0.07780308,13.42087,23.84742,68.268693,27.5095707426369,817955,249129,0.96
35.94844,0.071361,16.35102,21.89186,52.5965714,58.9430266371126,927316,109905,1.0
39.41185,0.07072108,14.02017,23.52815,42.9701643,38.5134553012815,920354,247844,1.0
69.93092,0.07981216,12.33055,24.80474,458.632187,44.9441906442323,856636,266595,0.9
37.94671,0.06779522,15.68943,22.84413,0.0,95.7658852597719,924371,202950,0.96
72.68941,0.07955121,12.29904,24.87912,27.2173792,36.5996606607901,849415,265493,0.94
71.28072,0.07559997,14.39501,23.79876,78.0498058,48.4181227792065,872768,238725,1.0
36.34456,0.07053307,13.24294,23.4956,26.4455875,122.262227477053,925581,254027,0.98
56.46407,0.07312792,14.57567,23.63829,11.595223,53.43472726333,895314,248737,1.0
43.53668,0.07396319,15.84502,20.53872,0.0,35.9153666798746,869484,116583,0.96
34.6515,0.0734954,15.48499,20.41039,0.0,6.81737202255521,915122,143126,0.74
44.17703,0.07170343,15.32278,21.30017,209.856582,93.4453454322805,895138,175130,1.0
47.43881,0.07356924,15.30149,19.8189,0.0,117.723670997913,875613,163676,0.91
46.11033,0.06913327,16.78179,23.33763,254.955635,139.318703219046,911429,212677,0.93
64.87574,0.07281963,17.43538,23.29818,0.0,31.4969511146529,887632,228541,1.0
43.64964,0.07445353,15.89572,20.38541,0.0,36.498642253494,867291,118598,0.92
