NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
81.2600327,0.0771435,13.1405544,24.7970009,0,11.364863528839374,
31.2667561,0.0688207,14.3981123,19.9560719,490.983901730425771,278.217611216292994,
,0.0758727,,20.5000191,11.188354696758893,3.161533566838975,
35.525135,0.0742159,15.295393,20.5358257,0,43.963285317879041,
35.1328087,0.0745272,15.3978605,20.534565,527.061249282429344,989.314286463954545,
40.5524292,0.0691246,26.0383854,21.999052,367.783902939345182,104.469642157597107,
35.390274,0.0743598,15.7022171,20.3802891,68.167740139957630,150.853566306179545,
42.3079567,0.0695162,24.3796806,21.8517914,705.056889172844194,240.201971239211332,
42.9323273,0.0642747,42.5623589,24.4586143,0,57.682242502170986,
81.4877014,0.0770661,13.2818985,24.8518772,0,668.244674884808092,
45.4242325,0.0612052,31.8416481,22.8767262,369.104625840948813,115.776653452624728,
78.1925812,0.0773573,13.0333042,24.8824177,959.062112472540775,975.249972472248373,
34.4698715,0.0722519,15.3923531,20.2698326,0,356.316748170863264,
44.9781837,0.0604579,36.1908722,23.0215416,558.843195212822934,24.269067822127418,
45.9254684,0.065861,35.1622124,23.024395,934.949341312347315,30.281521985946871,
44.9988289,0.0595316,36.6969452,23.7250614,540.081954459209783,124.729230081177818,
43.1829453,0.066278,34.4906998,23.0434341,259.604767095867260,50.904935051501568,
42.0617943,0.0697308,23.4794292,21.8326054,0,540.301662692217064,
35.3963203,0.0745663,15.8312473,20.3545494,0,506.654915550383521,
45.4503326,0.059,36.5054626,25.6153393,0,835.946937860496632,
44.3819809,0.065258,37.394268,23.1569118,51.106563443976604,529.650022278305528,
43.2008591,0.0665842,33.7920341,22.9542828,0,96.279326799369386,
37.2138863,0.0729165,15.5119209,20.2390156,0,84.009267410262098,
77,0.0809251,13.3000002,23.7817898,513.493119522136681,234.770208925716588,
34.1710625,0.0720369,15.3462095,20.2421417,243.722278894328838,234.623051580554034,
