School Year,Gender Description,School Code,School,School Type Description,Community Code,Community Description,Grade Description,Pediatric Category Description,Student Case Count,Student Enrollment Count,Prevalence,Lower CI,Upper CI,Statistical Significance,Stability,State Student Case Count,State Student Enrollment Count,State Prevalence,State Lower CI,State Upper CI,matched_name
2017-2018,Total,1700045,1 LT Charles W. Whitcomb School,Public,170,Marlborough,Total,Asthma,190,1308.0,14.5,12.4,16.6,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,1 LT Charles W. Whitcomb School
2017-2018,Total,1630016,A Drewicz Elementary,Public,163,Lynn,Total,Asthma,48,492.0,9.8,7,12.6,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,A. Drewicz Elementary School
2017-2018,Total,2070005,A E Angier,Public,207,Newton,Total,Asthma,51,467.0,10.9,7.9,13.9,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Tate Learning Center
2017-2018,Total,6220015,A F Maloney,Public,32,Blackstone,Total,Asthma,26,299.0,8.7,5.4,12,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,A.F. Maloney Elementary School
2017-2018,Total,4740505,A North Central Charter Essential (District),Charter,97,Fitchburg,Total,Asthma,29,150.0,19.3,12.3,26.3,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Sizer School: A North Central Charter Essential School
2017-2018,Total,950085,A S LeTourneau,Public,95,Fall River,Total,Asthma,0,,NC,NC,NC,NC,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Letourneau Elementary School
2017-2018,Total,2480003,A. C. Whelan Elementary School,Public,248,Revere,Total,Asthma,45,753.0,6,4.2,7.8,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,A.C. Whelan Elementary School
2017-2018,Total,160001,A. Irvin Studley Elementary School,Public,16,Attleboro,Total,Asthma,33,384.0,8.6,5.7,11.5,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,A. Irvin Studley Elementary School
2017-2018,Total,3260004,Abbot Elementary,Public,330,Westford,Total,Asthma,33,367.0,9,5.9,12.1,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abbot Elementary School
2017-2018,Total,980005,Abbott Memorial,Public,98,Florida,Total,Asthma,8,68.0,11.8,3.6,20,Not statistically significantly different,Unstable,79838,675052,11.82694074,11.74490111,11.90898036,Abbott Memorial School
2017-2018,Total,4450105,Abby Kelley Foster Charter Public School,Charter,348,Worcester,Total,Asthma,65,1061.0,6.1,4.6,7.6,Statistically significantly lower,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abby Kelley Foster Charter Public School
2017-2018,Total,3360310,Abigail Adams Middle School,Public,336,Weymouth,Total,Asthma,125,906.0,13.8,11.4,16.2,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Williams Middle School
2017-2018,Total,10405,Abington Middle School,Public,1,Abington,Total,Asthma,75,687.0,10.9,8.4,13.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abington Middle School
2017-2018,Total,3250020,Abner Gibbs,Public,329,Westfield,Total,Asthma,31,223.0,13.9,9,18.8,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abner Gibbs School
2017-2018,Total,1630011,Aborn,Public,163,Lynn,Total,Asthma,32,253.0,12.6,8.2,17,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Aborn School
2017-2018,Total,1600020,Abraham Lincoln,Public,160,Lowell,Total,Asthma,61,438.0,13.9,10.4,17.4,Not statistically significantly different,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abraham Lincoln School
2017-2018,Total,2010095,Abraham Lincoln,Public,201,New Bedford,Total,Asthma,166,717.0,23.2,19.7,26.7,Statistically significantly higher,Stable  ,79838,675052,11.82694074,11.74490111,11.90898036,Abraham Lincoln School
